site,datetime,variable,values
Archery,2019-10-06T06:45:00Z,depth_ft,3.045202226559717
Archery,2019-10-06T06:45:00Z,dissolved_oxygen_pct,67.55826611896418
Archery,2019-10-06T06:45:00Z,do_mg,7.349517449239504
Archery,2019-10-06T06:45:00Z,orp,187.52905921538272
Archery,2019-10-06T06:45:00Z,ph,7.979103859084875
Archery,2019-10-06T06:45:00Z,turbidity,2.9191783995581013
Archery,2019-10-06T07:00:00Z,depth_ft,3.05323487233954
Archery,2019-10-06T07:00:00Z,dissolved_oxygen_pct,67.5484787647686
Archery,2019-10-06T07:00:00Z,do_mg,7.361993123065002
Archery,2019-10-06T07:00:00Z,orp,188.15013420880774
Archery,2019-10-06T07:00:00Z,ph,7.967564362257432
Archery,2019-10-06T07:00:00Z,turbidity,3.085410498550078
Archery,2019-10-06T07:15:00Z,depth_ft,3.0663817000487246
Archery,2019-10-06T07:15:00Z,dissolved_oxygen_pct,67.75357548987691
Archery,2019-10-06T07:15:00Z,do_mg,7.397453680565112
Archery,2019-10-06T07:15:00Z,orp,188.84746244059255
Archery,2019-10-06T07:15:00Z,ph,7.956742398644998
Archery,2019-10-06T07:15:00Z,turbidity,3.4604282560249118
Archery,2019-10-06T07:30:00Z,depth_ft,3.083670172134755
Archery,2019-10-06T07:30:00Z,dissolved_oxygen_pct,68.05053843589681
Archery,2019-10-06T07:30:00Z,do_mg,7.442903217314022
Archery,2019-10-06T07:30:00Z,orp,190.1002156871138
Archery,2019-10-06T07:30:00Z,ph,7.946548112078969
Archery,2019-10-06T07:30:00Z,turbidity,3.786873986558082
Archery,2019-10-06T07:45:00Z,depth_ft,3.101603715446051
Archery,2019-10-06T07:45:00Z,dissolved_oxygen_pct,68.30313598390363
Archery,2019-10-06T07:45:00Z,do_mg,7.483428756582701
Archery,2019-10-06T07:45:00Z,orp,191.81528580801094
Archery,2019-10-06T07:45:00Z,ph,7.935601666921618
Archery,2019-10-06T07:45:00Z,turbidity,3.8605624166385395
Archery,2019-10-06T08:00:00Z,depth_ft,3.117297424415471
Archery,2019-10-06T08:00:00Z,dissolved_oxygen_pct,68.52876733594826
Archery,2019-10-06T08:00:00Z,do_mg,7.520411371923867
Archery,2019-10-06T08:00:00Z,orp,193.34336606404065
Archery,2019-10-06T08:00:00Z,ph,7.923647975081922
Archery,2019-10-06T08:00:00Z,turbidity,3.8595157346244737
Archery,2019-10-06T08:15:00Z,depth_ft,3.1300923162158414
Archery,2019-10-06T08:15:00Z,dissolved_oxygen_pct,68.86238707660553
Archery,2019-10-06T08:15:00Z,do_mg,7.568580465499926
Archery,2019-10-06T08:15:00Z,orp,194.23528431503598
Archery,2019-10-06T08:15:00Z,ph,7.912275078740149
Archery,2019-10-06T08:15:00Z,turbidity,4.093644351928029
Archery,2019-10-06T08:30:00Z,depth_ft,3.1409725826705257
Archery,2019-10-06T08:30:00Z,dissolved_oxygen_pct,69.39453134204301
Archery,2019-10-06T08:30:00Z,do_mg,7.638058061807189
Archery,2019-10-06T08:30:00Z,orp,194.82741232239226
Archery,2019-10-06T08:30:00Z,ph,7.902769623547151
Archery,2019-10-06T08:30:00Z,turbidity,4.3274932651080915
Archery,2019-10-06T08:45:00Z,depth_ft,3.1513064099140604
Archery,2019-10-06T08:45:00Z,dissolved_oxygen_pct,70.08509732603522
Archery,2019-10-06T08:45:00Z,do_mg,7.724190638357117
Archery,2019-10-06T08:45:00Z,orp,196.04649913835857
Archery,2019-10-06T08:45:00Z,ph,7.89628417625052
Archery,2019-10-06T08:45:00Z,turbidity,4.181000270937497
Archery,2019-10-06T09:00:00Z,depth_ft,3.1613430031569645
Archery,2019-10-06T09:00:00Z,dissolved_oxygen_pct,70.85549470024407
Archery,2019-10-06T09:00:00Z,do_mg,7.817607789575544
Archery,2019-10-06T09:00:00Z,orp,198.4543670524684
Archery,2019-10-06T09:00:00Z,ph,7.894623899605316
Archery,2019-10-06T09:00:00Z,turbidity,3.863887467896659
Archery,2019-10-06T09:15:00Z,depth_ft,3.1694790989276056
Archery,2019-10-06T09:15:00Z,dissolved_oxygen_pct,71.71011230250184
Archery,2019-10-06T09:15:00Z,do_mg,7.917406428782122
Archery,2019-10-06T09:15:00Z,orp,201.53241485436666
Archery,2019-10-06T09:15:00Z,ph,7.898679137844628
Archery,2019-10-06T09:15:00Z,turbidity,3.714772368062186
Archery,2019-10-06T09:30:00Z,depth_ft,3.1734830266607954
Archery,2019-10-06T09:30:00Z,dissolved_oxygen_pct,72.72917126781115
Archery,2019-10-06T09:30:00Z,do_mg,8.030405815585105
Archery,2019-10-06T09:30:00Z,orp,204.15291013951813
Archery,2019-10-06T09:30:00Z,ph,7.908369583925422
Archery,2019-10-06T09:30:00Z,turbidity,3.686654372310941
Archery,2019-10-06T09:45:00Z,depth_ft,3.17326229191686
Archery,2019-10-06T09:45:00Z,dissolved_oxygen_pct,73.96615995673045
